date,state,city,place_type,confirmed,deaths
2020-06-21,RS,"Soledade",city,38,1
2020-06-22,RS,"Soledade",city,39,1
2020-06-23,RS,"Soledade",city,39,1
2020-06-24,RS,"Soledade",city,41,1
2020-06-25,RS,"Soledade",city,41,1
2020-06-26,RS,"Soledade",city,42,1
2020-06-27,RS,"Soledade",city,49,1
2020-06-28,RS,"Soledade",city,49,1
2020-06-29,RS,"Soledade",city,50,1
2020-06-30,RS,"Soledade",city,51,1
2020-07-01,RS,"Soledade",city,52,1
2020-07-02,RS,"Soledade",city,55,1
2020-07-03,RS,"Soledade",city,58,1
2020-07-04,RS,"Soledade",city,67,1
2020-07-05,RS,"Soledade",city,67,1
2020-07-06,RS,"Soledade",city,68,1
2020-07-07,RS,"Soledade",city,71,1
2020-07-08,RS,"Soledade",city,71,1
2020-07-09,RS,"Soledade",city,71,1
2020-07-10,RS,"Soledade",city,71,1
2020-07-11,RS,"Soledade",city,73,1
2020-07-12,RS,"Soledade",city,73,1
2020-07-13,RS,"Soledade",city,73,1
2020-07-14,RS,"Soledade",city,74,1
2020-07-15,RS,"Soledade",city,76,1
2020-07-16,RS,"Soledade",city,85,1
2020-07-17,RS,"Soledade",city,92,1
2020-07-18,RS,"Soledade",city,92,1
2020-07-19,RS,"Soledade",city,95,1
2020-07-20,RS,"Soledade",city,99,1
2020-07-21,RS,"Soledade",city,107,1
2020-07-22,RS,"Soledade",city,109,1
2020-07-23,RS,"Soledade",city,113,1
2020-07-24,RS,"Soledade",city,114,1
2020-07-25,RS,"Soledade",city,114,1
2020-07-26,RS,"Soledade",city,114,1
2020-07-27,RS,"Soledade",city,119,1
2020-07-28,RS,"Soledade",city,120,1
2020-07-29,RS,"Soledade",city,125,1
2020-07-30,RS,"Soledade",city,125,1
2020-07-31,RS,"Soledade",city,125,1
2020-08-01,RS,"Soledade",city,125,1
2020-08-02,RS,"Soledade",city,125,1
2020-08-03,RS,"Soledade",city,127,1
2020-08-04,RS,"Soledade",city,134,1
2020-08-05,RS,"Soledade",city,137,1
2020-08-06,RS,"Soledade",city,139,1
2020-08-07,RS,"Soledade",city,144,1
2020-08-08,RS,"Soledade",city,144,2
2020-08-09,RS,"Soledade",city,144,2
2020-08-10,RS,"Soledade",city,144,2
2020-08-11,RS,"Soledade",city,148,2
2020-08-12,RS,"Soledade",city,148,2
2020-08-13,RS,"Soledade",city,149,2
2020-08-14,RS,"Soledade",city,151,2
2020-08-15,RS,"Soledade",city,151,2
2020-08-16,RS,"Soledade",city,151,2
2020-08-17,RS,"Soledade",city,155,2
2020-08-18,RS,"Soledade",city,155,2
2020-08-19,RS,"Soledade",city,158,3
2020-08-20,RS,"Soledade",city,158,3
2020-08-21,RS,"Soledade",city,162,3
2020-08-22,RS,"Soledade",city,166,3
2020-08-23,RS,"Soledade",city,166,3
2020-08-24,RS,"Soledade",city,172,3
2020-08-25,RS,"Soledade",city,175,3
2020-08-26,RS,"Soledade",city,176,3
2020-08-27,RS,"Soledade",city,176,3
2020-08-28,RS,"Soledade",city,180,3
2020-08-29,RS,"Soledade",city,180,3
2020-08-30,RS,"Soledade",city,180,3
2020-08-31,RS,"Soledade",city,183,3
2020-09-01,RS,"Soledade",city,195,3
2020-09-02,RS,"Soledade",city,195,3
2020-09-03,RS,"Soledade",city,203,3
2020-09-04,RS,"Soledade",city,207,3
2020-09-05,RS,"Soledade",city,207,3
2020-09-06,RS,"Soledade",city,207,3
2020-09-07,RS,"Soledade",city,207,3
2020-09-08,RS,"Soledade",city,219,3
2020-09-09,RS,"Soledade",city,219,3
2020-09-10,RS,"Soledade",city,227,4
2020-09-11,RS,"Soledade",city,234,4
