date,state,city,place_type,confirmed,deaths
2020-04-16,RS,"Soledade",city,1,0
2020-04-17,RS,"Soledade",city,1,0
2020-04-18,RS,"Soledade",city,1,0
2020-04-19,RS,"Soledade",city,1,0
2020-04-20,RS,"Soledade",city,1,0
2020-04-21,RS,"Soledade",city,1,0
2020-04-22,RS,"Soledade",city,1,0
2020-04-23,RS,"Soledade",city,1,0
2020-04-24,RS,"Soledade",city,1,0
2020-04-25,RS,"Soledade",city,2,0
2020-04-26,RS,"Soledade",city,2,0
2020-04-27,RS,"Soledade",city,2,0
2020-04-28,RS,"Soledade",city,2,0
2020-04-29,RS,"Soledade",city,2,0
2020-04-30,RS,"Soledade",city,2,0
2020-05-01,RS,"Soledade",city,4,0
2020-05-02,RS,"Soledade",city,4,0
2020-05-03,RS,"Soledade",city,5,0
2020-05-04,RS,"Soledade",city,5,0
2020-05-05,RS,"Soledade",city,6,0
2020-05-06,RS,"Soledade",city,6,0
2020-05-07,RS,"Soledade",city,6,0
2020-05-08,RS,"Soledade",city,24,0
2020-05-09,RS,"Soledade",city,25,0
2020-05-10,RS,"Soledade",city,25,0
2020-05-11,RS,"Soledade",city,25,0
2020-05-12,RS,"Soledade",city,25,0
2020-05-13,RS,"Soledade",city,25,0
2020-05-14,RS,"Soledade",city,25,0
2020-05-15,RS,"Soledade",city,26,0
2020-05-16,RS,"Soledade",city,26,0
2020-05-17,RS,"Soledade",city,26,0
2020-05-18,RS,"Soledade",city,26,0
2020-05-19,RS,"Soledade",city,26,0
2020-05-20,RS,"Soledade",city,27,0
2020-05-21,RS,"Soledade",city,27,0
2020-05-22,RS,"Soledade",city,28,0
2020-05-23,RS,"Soledade",city,30,0
2020-05-24,RS,"Soledade",city,30,0
2020-05-25,RS,"Soledade",city,31,0
2020-05-26,RS,"Soledade",city,31,0
2020-05-27,RS,"Soledade",city,31,0
2020-05-28,RS,"Soledade",city,31,0
2020-05-29,RS,"Soledade",city,31,0
2020-05-30,RS,"Soledade",city,31,0
2020-05-31,RS,"Soledade",city,31,0
2020-06-01,RS,"Soledade",city,31,0
2020-06-02,RS,"Soledade",city,31,0
2020-06-03,RS,"Soledade",city,31,0
2020-06-04,RS,"Soledade",city,31,0
2020-06-05,RS,"Soledade",city,31,0
2020-06-06,RS,"Soledade",city,31,0
2020-06-07,RS,"Soledade",city,31,0
2020-06-08,RS,"Soledade",city,31,0
2020-06-09,RS,"Soledade",city,31,0
2020-06-10,RS,"Soledade",city,31,0
2020-06-11,RS,"Soledade",city,32,0
2020-06-12,RS,"Soledade",city,32,0
2020-06-13,RS,"Soledade",city,32,0
2020-06-14,RS,"Soledade",city,32,0
2020-06-15,RS,"Soledade",city,32,0
2020-06-16,RS,"Soledade",city,32,0
2020-06-17,RS,"Soledade",city,32,1
2020-06-18,RS,"Soledade",city,37,1
2020-06-19,RS,"Soledade",city,38,1
2020-06-20,RS,"Soledade",city,38,1
